backend,n_qubits,state_type,state_index,shots_per_setting,settings,method,fidelity,hs_distance,estimated_purity,minimum_eigenvalue,reconstruction_seconds
numpy,3,haar,0,500,27,projected,0.9734165663995624,0.06815965614072841,0.9514787863024623,-6.493558825133597e-17,0.0001380409812554717
numpy,3,haar,0,500,27,low_rank,0.9982515477556265,0.0591352548551467,0.9999999999999994,-8.416395361058239e-17,0.00012245800462551415
numpy,3,haar,0,500,27,shrinkage,0.9034723071599216,0.12514158444001655,0.8226049754202429,-3.271162870392132e-17,0.0001838750031311065
numpy,3,haar,0,500,27,mle,0.9911681524061529,0.04225625925480707,0.9841218336274249,1.0863720457818208e-14,0.10768099999404512
numpy,3,haar,1,100,27,linear,1.0,0.2506553223869266,1.1295499999999998,-0.11796184962562035,0.0013921670033596456
numpy,3,haar,1,100,27,projected,0.9536374802596507,0.15193238946166598,0.9303583503523993,-2.713597276579571e-16,0.00016808300279080868
numpy,3,haar,1,100,27,low_rank,0.9892402555826691,0.14669549893417957,0.9999999999999982,-3.3474939064945545e-17,0.00012754200724884868
numpy,3,haar,1,100,27,shrinkage,0.8979486807392271,0.1820334642152334,0.8290334682960296,-3.1020240554379504e-17,0.00019158300710842013
numpy,3,haar,1,100,27,mle,0.9722892460603524,0.0905777364280255,0.9527827555313517,3.6367380673364715e-15,0.10852920799516141
numpy,3,haar,1,500,27,linear,0.9986666101690491,0.09283769186702423,1.005952,-0.04271545016144233,0.0013745000178460032
numpy,3,haar,1,500,27,projected,0.9716904432668928,0.05689489455570072,0.9466178731647337,-5.205152132735306e-17,0.00015537498984485865
numpy,3,haar,1,500,27,low_rank,0.9991093459155362,0.042206091664388073,0.9999999999999993,-7.931658378155112e-17,0.0001264160091523081
numpy,3,haar,1,500,27,shrinkage,0.9023832664883912,0.12077310145258627,0.8193526031567363,-7.678111714762942e-18,0.00019129100837744772
numpy,3,haar,1,500,27,mle,0.9873895667520198,0.03645171320069102,0.9761077821042239,1.0621800953425776e-13,0.10666275001130998
numpy,3,haar,2,100,27,linear,0.9367002514308082,0.2993318408105486,0.9630000000000002,-0.12497170534713063,0.0018196660093963146
numpy,3,haar,2,100,27,projected,0.8752395366211935,0.21796348708133875,0.7979870991016051,-1.9314141214928252e-17,0.00018691699369810522
numpy,3,haar,2,100,27,low_rank,0.984183606989884,0.17785631241770442,1.0000000000000002,-8.554513074632243e-17,0.00013345800107344985
numpy,3,haar,2,100,27,shrinkage,0.812763611993116,0.2622450672311219,0.694299647836707,-3.228669805711311e-17,0.00020450001466087997
numpy,3,haar,2,100,27,mle,0.9679379669159601,0.08861341777149656,0.943728200109348,2.8681958652186682e-15,0.10666487499838695
numpy,3,haar,2,500,27,linear,1.0,0.10779185294309727,1.020092,-0.05120908048191513,0.0013610409805551171
numpy,3,haar,2,500,27,projected,0.9762113738145458,0.06334768476669961,0.9564356133426084,-3.444964938506238e-17,0.00013858298189006746
numpy,3,haar,2,500,27,low_rank,0.9984508413793994,0.05566317630428809,1.000000000000001,-9.625101727322941e-17,0.00012412501382641494
numpy,3,haar,2,500,27,shrinkage,0.9035650452359302,0.12194923232888533,0.8220016199477795,-3.8374411352341676e-17,0.00018674999591894448
numpy,3,haar,2,500,27,mle,0.9900284205526445,0.037920354429658014,0.9814947049360291,8.528896956330978e-14,0.10615637499722652
numpy,3,mixed,0,100,27,linear,0.9508781702875233,0.2519454576616308,0.28969999999999996,-0.09296677188910805,0.0013732500083278865
numpy,3,mixed,0,100,27,projected,0.8694412297895625,0.21605594007578127,0.25257663182694107,-2.445982352713953e-17,0.0001429579860996455
numpy,3,mixed,0,100,27,low_rank,0.35879311022916954,0.728996179372237,1.000000000000001,-7.636709474986488e-17,0.00012479099677875638
numpy,3,mixed,0,100,27,shrinkage,0.8849279230502349,0.20929110090889877,0.23228390736607513,1.0538009491508201e-18,0.00018874998204410076
numpy,3,mixed,0,100,27,mle,0.8949756205365547,0.18188538719673353,0.2528632102617979,2.554642979692528e-13,0.10649045801255852
numpy,3,mixed,0,500,27,linear,0.9923794091387167,0.13078832344894536,0.27457,-0.03595559111231878,0.0013697919785045087
numpy,3,mixed,0,500,27,projected,0.9580950378705236,0.1212340743216418,0.2628194830739245,-2.5277729305406956e-17,0.00015304097905755043
numpy,3,mixed,0,500,27,low_rank,0.3700183958067449,0.7134317549509064,0.9999999999999996,-8.203204959789357e-17,0.00016966601833701134
numpy,3,mixed,0,500,27,shrinkage,0.9664381763244666,0.1156339939643291,0.24002663843273647,-2.2197623020960875e-17,0.00024283298989757895
numpy,3,mixed,0,500,27,mle,0.9721150289287034,0.08933314417764447,0.2593449616416055,9.23545816666018e-13,0.10650058300234377
numpy,3,mixed,1,100,27,linear,0.8997321937069769,0.2678553774850597,0.3194,-0.06449004754071762,0.0013532919983845204
