replicate,noise_case,method,fidelity_to_reconstruction_target,fidelity_to_ideal_pre_noise_state,ideal_to_target_fidelity,hs_distance_to_target,minimum_eigenvalue,physical,inference_seconds
0,coherent_z_rotation_008rad,linear_inversion,1.0,0.9989325783670107,0.995187843451068,0.06893357391740838,-0.04026752956479918,False,0.0003522080078255385
0,coherent_z_rotation_008rad,maximum_likelihood,0.9944326713260114,0.9885920186416433,0.995187843451068,0.028046971123202397,6.905839466705925e-14,True,0.06977150001330301
0,coherent_z_rotation_008rad,neural_network,0.966539842802667,0.966458619864091,0.995187843451068,0.2261586910273459,1.9344993611734898e-07,True,0.00020599999697878957
0,readout_assignment_3pct_5pct,linear_inversion,0.8932281309573828,0.8932281309573828,1.0,0.1423508417626543,0.002953463787149024,True,0.0003542079939506948
0,readout_assignment_3pct_5pct,maximum_likelihood,0.8862245141617263,0.8862245141617263,1.0,0.14542669745637923,0.007387511275611435,True,0.06990545900771394
0,readout_assignment_3pct_5pct,neural_network,0.8881727985255181,0.8881727985255181,1.0,0.2567583839482528,0.012375902553221553,True,0.0002069160109385848
1,finite_shots_only,linear_inversion,1.0,1.0,1.0,0.06439289596558526,-0.03484329296066483,False,0.00034562498331069946
1,finite_shots_only,maximum_likelihood,0.9989904618366983,0.9989904618366983,1.0,0.03216838131368405,2.2065256581107996e-15,True,0.0709284589975141
1,finite_shots_only,neural_network,0.8437781807199752,0.8437781807199752,1.0,0.40924280262083085,0.0018939905267520173,True,0.00021245898096822202
1,global_depolarizing_p08,linear_inversion,0.9800966650316397,0.9422838136071436,0.9400000318711264,0.06567970895664262,-0.009111061709136925,False,0.0003499580197967589
1,global_depolarizing_p08,maximum_likelihood,0.9734959175121858,0.9352296436681526,0.9400000318711264,0.05984792001385795,1.810381274223641e-12,True,0.06961883397889324
1,global_depolarizing_p08,neural_network,0.9163155183888241,0.8271896709161071,0.9400000318711264,0.3493216286072312,0.008256261379711232,True,0.00021062500309199095
1,amplitude_damping_p08,linear_inversion,0.9763775347402326,0.9042548816526196,0.9109987805231762,0.07161912919955417,-0.019111033695905014,False,0.0003499169833958149
1,amplitude_damping_p08,maximum_likelihood,0.9874187108859633,0.91132308943669,0.9109987805231762,0.04672183615037135,5.435972523450126e-13,True,0.06953679100843146
1,amplitude_damping_p08,neural_network,0.8343920057215016,0.729201226920712,0.9109987805231762,0.35528005013055913,0.014752788017190072,True,0.00021891697542741895
1,phase_damping_p08,linear_inversion,1.0,0.9637394267817124,0.9403919252931565,0.07304532688755336,-0.03232231797879234,False,0.0003804159932769835
1,phase_damping_p08,maximum_likelihood,0.9822850432689347,0.9569359350915845,0.9403919252931565,0.03405346877195532,7.269274488881988e-14,True,0.07057445801910944
1,phase_damping_p08,neural_network,0.8675021728384158,0.7904078779855385,0.9403919252931565,0.47594555695181884,0.0061743422650338,True,0.00020983399008400738
1,biased_pauli_02_01_05,linear_inversion,0.9946029385733304,0.8674034733888241,0.873857446496312,0.04620039501582123,0.01426345223589166,True,0.000348917004885152
1,biased_pauli_02_01_05,maximum_likelihood,0.9907276680876145,0.8660492136776272,0.873857446496312,0.05004799149070089,0.00992042506027913,True,0.07161549999727868
1,biased_pauli_02_01_05,neural_network,0.9066270609790571,0.7687173194747147,0.873857446496312,0.36239478354090304,0.009423435913450733,True,0.0002144169993698597
1,coherent_z_rotation_008rad,linear_inversion,0.9835968916358792,0.9821976876449601,0.9984990224286722,0.05887490650221573,-0.023940417619802028,False,0.0003517500008456409
1,coherent_z_rotation_008rad,maximum_likelihood,0.9821234431523264,0.9793344680862333,0.9984990224286722,0.042886918672806265,5.088178522333047e-14,True,0.07031595800071955
1,coherent_z_rotation_008rad,neural_network,0.8744991246598063,0.8741245267725625,0.9984990224286722,0.26949909749787965,0.0017824421713128079,True,0.00021212498540990055
1,readout_assignment_3pct_5pct,linear_inversion,0.8930236892780423,0.8930236892780423,1.0,0.1467537364353842,0.012405750613274029,True,0.00035762498737312853
1,readout_assignment_3pct_5pct,maximum_likelihood,0.883582112316076,0.883582112316076,1.0,0.15167738860316196,0.01490685961571711,True,0.06991279200883582
1,readout_assignment_3pct_5pct,neural_network,0.716808542146033,0.716808542146033,1.0,0.4853693969634958,0.021608904021364256,True,0.00020862501696683466
2,finite_shots_only,linear_inversion,0.9935252976586321,0.9935252976586321,1.0,0.05682806636592171,-0.03047533215955496,False,0.0003548749955371022
