family,shots_per_setting,total_shots,trials,mean_fidelity,standard_deviation,standard_error,ci95_lower,ci95_upper
Pure (Haar),5500,148500,500,0.9904853890134677,0.0032419904472715385,0.00014498622045008215,0.9902012160213856,0.9907695620055499
Pure (Haar),5750,155250,500,0.9907130396700101,0.0030315607767872916,0.000135575519496369,0.9904473116517972,0.990978767688223
Pure (Haar),6000,162000,500,0.991006481086516,0.003024146323264063,0.00013524393505448998,0.9907414029738092,0.9912715591992228
Pure (Haar),6250,168750,500,0.9910272423579575,0.003012809631163606,0.00013473694277095784,0.9907631579501264,0.9912913267657886
Pure (Haar),6500,175500,500,0.99083550159318,0.0030505152851143724,0.00013642319087835776,0.9905681121390584,0.9911028910473016
Pure (Haar),6750,182250,500,0.9916372085570601,0.003233285697287312,0.00014459693219624474,0.9913537985699554,0.9919206185441647
Pure (Haar),7000,189000,500,0.9914799380481059,0.002900863376652005,0.0001297305540726692,0.9912256661621234,0.9917342099340883
Pure (Haar),7250,195750,500,0.9919959591570355,0.002747371064891107,0.00012286616921025002,0.9917551414653835,0.9922367768486876
Pure (Haar),7500,202500,500,0.9919021134255056,0.0027069834898152643,0.00012105998194393081,0.9916648358608955,0.9921393909901157
Pure (Haar),7750,209250,500,0.992184273240985,0.0026766239937099905,0.00011970226400285017,0.9919496568035394,0.9924188896784306
Pure (Haar),8000,216000,500,0.992195890347713,0.0026301399972949676,0.00011762343648585321,0.9919653484122007,0.9924264322832254
Pure (Haar),8500,229500,500,0.9923674854704182,0.002549180277763667,0.00011400280775962709,0.9921440399672093,0.992590930973627
Pure (Haar),9000,243000,500,0.9927512349679114,0.002401681244664263,0.00010740645046711192,0.9925407183249959,0.9929617516108269
Pure (Haar),10000,270000,500,0.9929890585735869,0.002377117473961666,0.00010630792524561742,0.9927806950401055,0.9931974221070683
