sample,state_type,shots_per_setting,method,hs_distance,fidelity,minimum_eigenvalue,inference_seconds
37,haar,500,maximum_likelihood,0.031500222478968574,0.9947382816620227,2.097741836260321e-15,0.021623874999932013
37,haar,500,neural_network,0.1724734806044786,0.9601201095150848,2.4240487714596343e-07,5.566700019699056e-05
38,mixed,500,linear_inversion,0.07915240840645771,0.9907704873769854,0.032237814450193,0.0001984169994102558
38,mixed,500,maximum_likelihood,0.06786813220593144,0.9940340432097025,0.05362303162858554,0.021584083999186987
38,mixed,500,neural_network,0.22293097435306244,0.9281234495706354,0.05023130407686328,5.562500155065209e-05
39,product,500,linear_inversion,0.10441391689283205,0.988656894429274,-0.05061645177031365,0.00019545799841580447
39,product,500,maximum_likelihood,0.03974524267321517,0.9862594689612785,1.535161196453369e-17,0.02136458300083177
39,product,500,neural_network,0.13020612993947253,0.9770962951563409,3.856901855954936e-07,6.141700032458175e-05
40,haar,500,linear_inversion,0.09002788936955432,1.0,-0.04613914592364122,0.0001984999998967396
40,haar,500,maximum_likelihood,0.05023201496615847,0.98982238026607,1.3025596825787588e-14,0.02159895799923106
40,haar,500,neural_network,0.3986875986020682,0.8869158364217532,5.640266428013208e-05,5.750000127591193e-05
41,mixed,500,linear_inversion,0.11835001440180275,1.0,-0.04561841000441906,0.00020529200082819443
41,mixed,500,maximum_likelihood,0.06862530193975903,0.9816306352983029,1.0896814463665712e-13,0.021672167000360787
41,mixed,500,neural_network,0.3424296235310401,0.877911109787696,0.02649967770828676,5.770800089521799e-05
42,product,500,linear_inversion,0.1126990143826615,1.0,-0.04277413350975476,0.00020316699919931125
42,product,500,maximum_likelihood,0.0518512645386074,0.986786579025343,2.0367094340005082e-14,0.021608458999253344
42,product,500,neural_network,0.27236325926660654,0.9474643678784493,5.536523755312156e-06,5.5750000683474354e-05
43,haar,500,linear_inversion,0.09556143653949392,0.9889020407873028,-0.04483077584275881,0.00021508400095626712
43,haar,500,maximum_likelihood,0.0432101543248641,0.9870976494018087,1.4631214765705256e-16,0.021621583999149152
43,haar,500,neural_network,0.27215097508076036,0.9583964478598838,3.6864474636214746e-07,5.366700133890845e-05
44,mixed,500,linear_inversion,0.08076304411064714,0.9946059958553817,-0.007637294982400493,0.00020937500084983185
44,mixed,500,maximum_likelihood,0.07352926438419378,0.9888126860798592,9.525059845607654e-13,0.021288166999511304
44,mixed,500,neural_network,0.18827801373546127,0.9645683138306135,0.020551028863590646,6.0165999457240105e-05
45,product,500,linear_inversion,0.08504202713279525,1.0,-0.03111630023977762,0.0001997500003199093
45,product,500,maximum_likelihood,0.04405063324591819,0.9956993845668827,1.1275910136637343e-14,0.021302999999534222
45,product,500,neural_network,0.19792346489609697,0.9630779750599101,1.1072628081794082e-05,5.249999958323315e-05
46,haar,500,linear_inversion,0.059454457935935866,1.0,-0.012184154599869882,0.00022412500038626604
46,haar,500,maximum_likelihood,0.04489860394019752,0.9947896420735541,5.081152388131791e-16,0.02159899999969639
46,haar,500,neural_network,0.17659446191973538,0.9608431311963302,8.496114596942856e-05,5.212500036577694e-05
47,mixed,500,linear_inversion,0.09343983645339664,0.9999372535522469,-0.014697244505814739,0.00020858300013060216
47,mixed,500,maximum_likelihood,0.06061796435481736,0.988479617978961,3.45636599266706e-13,0.02166324999961944
47,mixed,500,neural_network,0.30578524689609266,0.8484856565801797,0.021075027583439508,5.529200097953435e-05
48,product,500,linear_inversion,0.1026594298372165,1.0,-0.053939834056116846,0.0002020840001932811
48,product,500,maximum_likelihood,0.04488744530331979,0.9923864307096205,2.155789461908869e-15,0.021643832998961443
48,product,500,neural_network,0.15292337506600442,0.9803572905379195,9.458435064148002e-07,5.116700049256906e-05
49,haar,500,linear_inversion,0.09188589423759541,0.9895885032192503,-0.053976842918833166,0.00019933300063712522
49,haar,500,maximum_likelihood,0.0247296403335554,0.991988089309354,2.4354150001936523e-14,0.021625750001476263
49,haar,500,neural_network,0.20846005288120578,0.954659401589119,1.446267694090251e-05,5.587499981629662e-05
50,mixed,500,linear_inversion,0.07270905707897199,0.9935129153379701,0.023683455751900142,0.0001964999992196681
50,mixed,500,maximum_likelihood,0.03931650886093251,0.997578596476659,0.026091213202025183,0.02166616599970439
50,mixed,500,neural_network,0.32876574334111236,0.908792131693826,0.029874476300013667,6.0958000176469795e-05
