n_qubits,state_type,observable,observable_weight,method,requested_copy_budget,mean_actual_total_copies,mean_collection_total_copies,replicates,bias,mae,rmse,p90_absolute_error,physical_fraction
2,haar,XX,2,rank_one_mle,4500,4500.0,4500.0,20,0.0002438111960322821,0.013755424508366379,0.01783466946411399,0.03212998556952127,1.0
2,haar,ZI,1,classical_shadow,90,90.0,90.0,20,0.12642431314434657,0.141684251778952,0.1761656708121554,0.2696237982846028,not_applicable
2,haar,ZI,1,classical_shadow,180,180.0,180.0,20,0.0030909798110132294,0.08259612804507718,0.0986072739437173,0.14784711823345117,not_applicable
2,haar,ZI,1,classical_shadow,450,450.0,450.0,20,0.011090979811013242,0.06828745052593692,0.08755351899781715,0.13466910907434299,not_applicable
2,haar,ZI,1,classical_shadow,900,900.0,900.0,20,-0.010242353522320094,0.04502285352052913,0.05819661651539435,0.09821234163567806,not_applicable
2,haar,ZI,1,classical_shadow,1800,1800.0,1800.0,20,0.007424313144346573,0.03710909408903838,0.0442201446394485,0.07055802778111088,not_applicable
2,haar,ZI,1,classical_shadow,4500,4500.0,4500.0,20,0.004324313144346578,0.016597659781452823,0.0207698290576779,0.031687952305741424,not_applicable
2,haar,ZI,1,direct_split_collection_budget,90,22.0,88.0,20,0.03278794950798293,0.1481987629512002,0.19423046032980054,0.3521636422978567,not_applicable
2,haar,ZI,1,direct_split_collection_budget,180,45.0,180.0,20,-0.004686797966764541,0.08299745583933249,0.1008331451693378,0.1410939497102139,not_applicable
2,haar,ZI,1,direct_split_collection_budget,450,112.0,448.0,20,0.013388598858632288,0.0653358198042883,0.08511986098976664,0.1667069574017597,not_applicable
2,haar,ZI,1,direct_split_collection_budget,900,225.0,900.0,20,-0.016242353522320094,0.04859145559057173,0.05829458686994987,0.08001064673434573,not_applicable
2,haar,ZI,1,direct_split_collection_budget,1800,450.0,1800.0,20,0.00642431314434657,0.03723985324607674,0.04514426324698328,0.07561712955923658,not_applicable
2,haar,ZI,1,direct_split_collection_budget,4500,1125.0,4500.0,20,-0.0012201313000978723,0.0222914023056412,0.02813924380705531,0.043783967863833664,not_applicable
2,haar,ZI,1,direct_targeted_pauli,90,90.0,360.0,20,-0.02135346463343122,0.10527297527185045,0.12449487191885668,0.19482271636529042,not_applicable
2,haar,ZI,1,direct_targeted_pauli,180,180.0,720.0,20,0.003090979811013239,0.05377247012183425,0.0655235912883407,0.10448818699540804,not_applicable
2,haar,ZI,1,direct_targeted_pauli,450,450.0,1800.0,20,0.004646535366568787,0.02899761128103202,0.03507510621129822,0.05493742662042496,not_applicable
2,haar,ZI,1,direct_targeted_pauli,900,900.0,3600.0,20,0.008646535366568796,0.03068830401720895,0.037001135987788904,0.06712237260030994,not_applicable
2,haar,ZI,1,direct_targeted_pauli,1800,1800.0,7200.0,20,-0.004520131300097872,0.014680895105254593,0.01980727104823403,0.03042609397567579,not_applicable
2,haar,ZI,1,direct_targeted_pauli,4500,4500.0,18000.0,20,-0.0012423535223200955,0.0099608433694857,0.013050948735454693,0.02444335564393263,not_applicable
2,haar,ZI,1,linear_inversion,90,90.0,90.0,20,0.03642431314434652,0.23859739407596345,0.2735287527408891,0.441580735050723,0.0
2,haar,ZI,1,linear_inversion,180,180.0,180.0,20,0.03142431314434659,0.22048364604545273,0.27656224932039297,0.4258733721958406,0.0
2,haar,ZI,1,linear_inversion,450,450.0,450.0,20,-0.011575686855653428,0.10523568255918436,0.13056550607045422,0.21144504892124336,0.0
2,haar,ZI,1,linear_inversion,900,900.0,900.0,20,-0.008575686855653426,0.09598770020977579,0.11251925064386362,0.16441881120855933,0.0
2,haar,ZI,1,linear_inversion,1800,1800.0,1800.0,20,0.019924313144346582,0.06457123490314012,0.08488540511453778,0.13501676197940496,0.0
2,haar,ZI,1,linear_inversion,4500,4500.0,4500.0,20,-0.008575686855653441,0.025560388535655305,0.0346743475404916,0.05768963444453685,0.0
2,haar,ZI,1,neural_network,90,90.0,90.0,20,0.0034110592508712345,0.21914499096390996,0.29437214258304917,0.4648515314089332,1.0
