n_qubits,state_type,replicate,observable,observable_weight,method,requested_copy_budget,actual_total_copies,collection_total_copies,shots_per_qst_setting,exact_expectation,estimated_expectation,error,absolute_error,squared_error,estimate_standard_error,estimate_physical,inference_seconds
2,haar,15,ZZ,2,rank_one_mle,180,180,180,20,0.4497278978401492,0.4393930631672277,-0.010334834672921511,0.010334834672921511,0.00010680880771662068,not_available,True,0.036264833
2,haar,15,ZZ,2,neural_network,180,180,180,20,0.4497278978401492,0.4612364066169242,0.011508508776775006,0.011508508776775006,0.00013244577426510735,not_available,True,0.000212792
2,haar,15,XX,2,classical_shadow,180,180,180,not_applicable,-0.29451344370890625,-0.05,0.24451344370890626,0.24451344370890626,0.05978682415438847,0.20669654977079524,not_applicable,not_recorded_separately
2,haar,15,XX,2,direct_targeted_pauli,180,180,720,one_targeted_setting,-0.29451344370890625,-0.25555555555555554,0.03895788815335072,0.03895788815335072,0.0015177170493689842,0.07206059787986664,not_applicable,not_recorded_separately
2,haar,15,XX,2,direct_split_collection_budget,180,45,180,one_targeted_setting_per_observable,-0.29451344370890625,-0.4666666666666667,-0.17215322295776042,0.17215322295776042,0.02963673217474437,0.13184352865947846,not_applicable,not_recorded_separately
2,haar,15,XX,2,linear_inversion,180,180,180,20,-0.29451344370890625,-0.09999999999999998,0.19451344370890628,0.19451344370890628,0.03783547978349785,not_available,False,0.000350208
2,haar,15,XX,2,rank_one_mle,180,180,180,20,-0.29451344370890625,-0.22167020681966557,0.07284323688924069,0.07284323688924069,0.005306137160502035,not_available,True,0.036264833
2,haar,15,XX,2,neural_network,180,180,180,20,-0.29451344370890625,-0.44718981043276523,-0.15267636672385898,0.15267636672385898,0.023310072955998275,not_available,True,0.000212792
2,haar,15,ZI,1,classical_shadow,450,450,450,not_applicable,-0.3929098321061448,-0.2733333333333333,0.11957649877281146,0.11957649877281146,0.01429853905876418,0.07819353650526494,not_applicable,not_recorded_separately
2,haar,15,ZI,1,direct_targeted_pauli,450,450,1800,one_targeted_setting,-0.3929098321061448,-0.38222222222222224,0.010687609883922533,0.010687609883922533,0.00011422500503091862,0.043561098160820974,not_applicable,not_recorded_separately
2,haar,15,ZI,1,direct_split_collection_budget,450,112,448,one_targeted_setting_per_observable,-0.3929098321061448,-0.39285714285714285,5.268924900192484e-05,5.268924900192484e-05,2.7761569603868382e-09,0.08689398637883214,not_applicable,not_recorded_separately
2,haar,15,ZI,1,linear_inversion,450,450,450,50,-0.3929098321061448,-0.32000000000000006,0.07290983210614471,0.07290983210614471,0.00531584361774621,not_available,False,0.000360292
2,haar,15,ZI,1,rank_one_mle,450,450,450,50,-0.3929098321061448,-0.3545394103795156,0.03837042172662919,0.03837042172662919,0.0014722892634793773,not_available,True,0.020890958
2,haar,15,ZI,1,neural_network,450,450,450,50,-0.3929098321061448,-0.48107673746800755,-0.08816690536186278,0.08816690536186278,0.007773403201087668,not_available,True,0.000212458
2,haar,15,IZ,1,classical_shadow,450,450,450,not_applicable,-0.4268757046030759,-0.36,0.0668757046030759,0.0668757046030759,0.004472359866157867,0.0771196392158571,not_applicable,not_recorded_separately
2,haar,15,IZ,1,direct_targeted_pauli,450,450,1800,one_targeted_setting,-0.4268757046030759,-0.4533333333333333,-0.02645762873025742,0.02645762873025742,0.0007000061180281429,0.04201822062150575,not_applicable,not_recorded_separately
2,haar,15,IZ,1,direct_split_collection_budget,450,112,448,one_targeted_setting_per_observable,-0.4268757046030759,-0.42857142857142855,-0.0016957239683526582,0.0016957239683526582,2.8754797768456867e-06,0.08537347209531383,not_applicable,not_recorded_separately
2,haar,15,IZ,1,linear_inversion,450,450,450,50,-0.4268757046030759,-0.2799999999999999,0.14687570460307597,0.14687570460307597,0.021572472602650033,not_available,False,0.000360292
2,haar,15,IZ,1,rank_one_mle,450,450,450,50,-0.4268757046030759,-0.351636121953736,0.07523958264933989,0.07523958264933989,0.0056609947972468475,not_available,True,0.020890958
2,haar,15,IZ,1,neural_network,450,450,450,50,-0.4268757046030759,-0.33370569524428784,0.09317000935878805,0.09317000935878805,0.008680650643916654,not_available,True,0.000212458
2,haar,15,ZZ,2,classical_shadow,450,450,450,not_applicable,0.4497278978401492,0.44,-0.009727897840149213,0.009727897840149213,9.463199638837973e-05,0.13420059446427837,not_applicable,not_recorded_separately
2,haar,15,ZZ,2,direct_targeted_pauli,450,450,1800,one_targeted_setting,0.4497278978401492,0.4177777777777778,-0.03195012006237141,0.03195012006237141,0.0010208101719999482,0.04282942208848341,not_applicable,not_recorded_separately
2,haar,15,ZZ,2,direct_split_collection_budget,450,112,448,one_targeted_setting_per_observable,0.4497278978401492,0.5714285714285714,0.12170067358842218,0.12170067358842218,0.01481105395187568,0.07754430690597278,not_applicable,not_recorded_separately
2,haar,15,ZZ,2,linear_inversion,450,450,450,50,0.4497278978401492,0.31999999999999995,-0.12972789784014926,0.12972789784014926,0.016829327478024205,not_available,False,0.000360292
